GPCR	169bip	169bin	194bip	194bin	249bip	249bin	269bip	269bin	270bip	270bin	276bip	276bin	302bip	302bin	381bip	381bin	655bip	655bin	658bip	658bin	660bip	660bin	671bip	671bin	702neg	730bip	730bin	S_TIL	I_CTL	O
PTGFR	5.7915	5.49943	3.44525	3.19019	1.93941	1.706	1.80827	0.9118	1.54387	1.59961	0.81432	0.99652	1.23741	1.33357	2.31551	1.88241	0.96733	1.28758	1.87099	1.01793	3.41682	4.52066	1.69194	1.43414	1	1.57167	1.03779	2	5	1
HCRTR2	3.88661	2.01125	1.39108	1.23426	1.76236	1.7499	1.80827	0.9118	1.56972	1.41664	0.94819	0.83058	1.21131	1.79295	2.26981	2.38234	1.08827	0.91988	1.87099	1.01793	2.13633	1.93443	2.41117	2.55818	1	2.57053	2.98505	5	3	1
ADRA2A	1.18181	1.47237	1.01981	1.54687	1.93941	1.706	0.46417	1.05928	1.56972	1.41664	0.94819	0.83058	1.23741	1.33357	3.42045	3.40233	1.08827	0.91988	1.87099	1.01793	1.8003	1.61792	1.69194	1.43414	0	1.57167	1.03779	9	1	1
GPR39	5.7915	5.49943	1.81733	3.67674	1.13411	1.93779	0.46417	1.05928	1.92289	3.5763	0.94819	0.83058	1.23741	1.33357	1.34409	2.97338	0.96733	1.28758	2.5065	2.59161	2.13633	1.93443	3.25716	4.5388	1	1.44991	1.78506	5	1	1
LTB4R	2.16842	2.11636	2.29484	1.9401	1.13411	1.93779	0.46417	1.05928	1.56972	1.41664	0.81432	0.99652	1.21131	1.79295	1.34409	2.97338	0.96733	1.28758	2.5065	2.59161	2.13633	1.93443	1.68456	2.13833	1	1.80562	1.5739	0	0	1
AVPR1A	1.16318	1.54992	1.39108	1.23426	1.76236	1.7499	2.93951	3.38156	3.12397	3.29771	0.81432	0.99652	1.57243	2.54961	2.76282	2.3447	0.96733	1.28758	1.5589	2.47342	1.3439	1.74127	1.69194	1.43414	1	3.60803	4.84703	6	2	1
GNRHR	5.7915	5.49943	1.01981	1.54687	1.76236	1.7499	0.46417	1.05928	1.56972	1.41664	0.94819	0.83058	1.57243	2.54961	2.26981	2.38234	3.61925	4.32683	3.01468	3.38776	2.86296	2.90989	1.68456	2.13833	0	2.69715	3.39082	1	0	1
EDNRA	1.16318	1.54992	1.39108	1.23426	1.13411	1.93779	0.46417	1.05928	1.59691	1.12525	0.81432	0.99652	1.21131	1.79295	2.26981	2.38234	2.19827	2.20316	2.0733	2.48857	2.13633	1.93443	2.42518	1.40551	1	1.44991	1.78506	2	1	1
CYSLTR2	1.18181	1.47237	1.81733	3.67674	1.93941	1.706	0.46417	1.05928	1.59691	1.12525	3.76449	3.76765	1.21131	1.79295	2.30947	2.2901	3.03271	2.71388	2.0733	2.48857	2.77029	2.86489	1.68456	2.13833	1	2.69715	3.39082	2	0	1
OPRL1	2.19383	2.73004	1.39108	1.23426	3.03094	3.19961	0.46417	1.05928	1.59691	1.12525	0.94819	0.83058	1.21131	1.79295	2.26981	2.38234	1.08827	0.91988	1.87099	1.01793	1.8003	1.61792	2.64228	2.60748	0	1.57167	1.03779	2	1	1
