GPCR	194bip	194bin	301bip	301bin	304bip	304bin	312bip	312bin	390bip	390bin	401bip	401bin	413bip	413bin	655bip	655bin	661bip	661bin	IP_Z_3sn6	IP_Z_6gdg	IP_Z_6li3	IP_Z_6ni3	TILL	E_TIL	R_TIL	C_CTL	O
GPBAR1	3.1864	3.50331	1.93882	1.65863	1.54974	2.51191	1.63378	2.19866	1.65716	1.49482	1.76658	1.8246	1.47167	2.17501	2.93028	4.05603	1.0263	1.34945	0.846	1.084	0.27	0.821	26	2	5	1	1
EDNRA	1.0795	1.46817	2.48795	3.2257	2.00628	2.25244	1.90936	0.9644	2.99641	4.66848	2.22716	3.20945	2.49793	3.47808	1.81553	2.41932	1.0263	1.34945	0.591	2.181	-0.311	0.505	18	1	3	6	1
MC4R	1.0795	1.46817	3.06696	3.75767	1.54974	2.51191	1.63378	2.19866	1.47092	2.2183	1.76658	1.8246	2.44942	1.01673	1.81553	2.41932	1.79594	1.48233	2.223	3.445	-0.809	2.326	10	0	1	3	1
ADORA2A	1.61669	2.40049	2.58068	1.75177	1.66476	1.29664	2.66181	3.12566	2.12734	1.91658	1.9406	2.24568	1.47167	2.17501	1.01955	1.07356	1.0263	1.34945	1.573	2.496	0.546	1.945	23	2	4	1	1
ADORA2B	1.17873	1.34029	1.84166	2.09332	1.66476	1.29664	2.66181	3.12566	2.12734	1.91658	2.59497	2.79214	1.47167	2.17501	1.01955	1.07356	1.0263	1.34945	1.025	2.379	-1.282	1.118	19	1	4	1	1
PTGER4	1.61669	2.40049	1.96653	1.96641	1.54974	2.51191	1.63378	2.19866	1.65716	1.49482	2.38096	1.39227	3.12914	4.71122	2.53103	3.35015	1.84985	1.22341	0.413	2.67	-1.175	0.824	52	1	11	4	1
ADRA2A	1.17873	1.34029	2.54186	2.7441	1.66476	1.29664	1.90936	0.9644	2.66492	2.00579	1.9406	2.24568	1.47167	2.17501	1.81059	0.81813	1.79594	1.48233	2.112	2.904	0.233	1.96	145	11	22	1	1
PTGER2	1.61669	2.40049	1.84166	2.09332	1.54974	2.51191	1.63378	2.19866	1.65716	1.49482	2.38096	1.39227	2.49793	3.47808	3.1228	4.3799	1.79594	1.48233	1.36	3.502	-1.147	1.822	33	2	10	3	1
HRH2	1.0795	1.46817	1.93882	1.65863	1.66476	1.29664	1.63378	2.19866	1.47092	2.2183	2.42785	2.7564	1.47167	2.17501	1.81059	0.81813	1.84985	1.22341	0.798	2.49	-0.645	2.222	19	0	3	2	1
HRH1	1.0795	1.46817	2.89046	2.76973	2.657	3.82278	2.00386	2.81017	1.47092	2.2183	2.22716	3.20945	1.91887	2.18692	1.01955	1.07356	1.0263	1.34945	1.596	2.302	0.656	2.191	192	13	14	1	1
MC3R	1.17873	1.34029	1.96653	1.96641	1.66476	1.29664	2.31341	2.2526	2.66492	2.00579	1.76658	1.8246	1.47167	2.17501	1.81553	2.41932	3.18591	3.56969	2.237	3.151	-0.877	2.429	22	0	2	2	1
CHRM2	1.17873	1.34029	1.96653	1.96641	1.66476	1.29664	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	2.806	3.01042	1.01955	1.07356	1.84985	1.22341	1.717	2.412	0.564	2.109	168	11	7	2	1
CHRM1	1.17873	1.34029	1.93882	1.65863	2.3477	1.68185	1.90936	0.9644	1.47092	2.2183	1.76658	1.8246	2.80858	2.52548	1.01955	1.07356	1.0263	1.34945	1.497	2.041	0.514	2.011	144	19	13	3	1
GPR65	1.17873	1.34029	2.48795	3.2257	2.00628	2.25244	2.31341	2.2526	2.773	3.14771	2.38096	1.39227	1.91887	2.18692	1.01955	1.07356	1.0263	1.34945	0.955	1.376	-1.248	1.144	10	2	1	3	1
GPR68	1.17873	1.34029	1.84166	2.09332	1.54974	2.51191	3.39028	4.09521	1.65716	1.49482	2.86252	2.94724	1.91887	2.18692	2.53103	3.35015	2.9814	2.89421	0.441	1.479	-2.647	0.81	10	0	3	3	1
ADRA1A	1.0795	1.46817	3.06696	3.75767	1.54974	2.51191	3.32278	4.30252	1.47092	2.2183	2.98299	2.5595	1.47167	2.17501	1.81059	0.81813	1.0263	1.34945	1.559	1.541	-0.098	1.705	55	2	6	8	1
GPR4	1.17873	1.34029	1.84166	2.09332	1.54974	2.51191	2.75269	3.01719	1.65716	1.49482	2.86252	2.94724	1.91887	2.18692	1.81553	2.41932	1.79594	1.48233	-0.165	0.603	-2.513	0.408	10	2	2	1	1
AVPR2	1.0795	1.46817	1.84166	2.09332	1.54974	2.51191	1.90936	0.9644	2.12734	1.91658	2.38096	1.39227	2.43473	2.3398	1.01955	1.07356	1.0263	1.34945	1.137	2.348	0.975	2.23	33	2	6	3	1
DRD5	1.0795	1.46817	1.93882	1.65863	2.5749	2.60312	2.00386	2.81017	1.47092	2.2183	2.42785	2.7564	1.47167	2.17501	1.01955	1.07356	2.9358	4.91126	1.984	2.542	0.144	2.355	38	2	5	3	1
CCKAR	1.17873	1.34029	1.96653	1.96641	3.54516	4.69354	1.90936	0.9644	1.65716	1.49482	2.70771	2.64508	2.43473	2.3398	1.01955	1.07356	1.0263	1.34945	2.286	2.798	1.412	2.973	67	4	7	3	1
DRD1	1.61669	2.40049	1.84166	2.09332	2.5749	2.60312	2.00386	2.81017	1.47092	2.2183	2.42785	2.7564	1.47167	2.17501	1.01955	1.07356	2.9358	4.91126	2.51	3.182	0.412	2.966	45	3	4	3	1
ADRB1	1.0795	1.46817	2.54186	2.7441	1.54974	2.51191	1.63378	2.19866	1.47092	2.2183	1.9406	2.24568	1.47167	2.17501	1.01955	1.07356	1.0263	1.34945	3.262	2.853	0.219	3.423	67	1	9	6	1
ADRB2	1.0795	1.46817	3.13867	3.70108	2.00628	2.25244	1.63378	2.19866	1.47092	2.2183	1.9406	2.24568	1.47167	2.17501	1.01955	1.07356	1.0263	1.34945	3.336	2.691	-0.093	3.323	41	2	5	4	1
PTGFR	3.9932	3.04103	2.89046	2.76973	2.3477	1.68185	1.63378	2.19866	1.65716	1.49482	2.38096	1.39227	2.44942	1.01673	1.01955	1.07356	1.84985	1.22341	0.021	2.177	-1.763	0.609	16	0	3	2	0
HCRTR2	1.0795	1.46817	2.58068	1.75177	2.00628	2.25244	1.90936	0.9644	3.50991	3.44985	2.70771	2.64508	2.44942	1.01673	1.81059	0.81813	1.84985	1.22341	1.661	2.886	-0.09	1.999	48	1	5	3	0
ADORA1	1.0795	1.46817	2.89046	2.76973	2.00628	2.25244	2.66181	3.12566	2.12734	1.91658	2.59497	2.79214	2.43473	2.3398	1.01955	1.07356	1.0263	1.34945	1.609	2.369	0.036	1.538	21	0	1	1	0
ADORA3	1.0795	1.46817	1.93882	1.65863	2.3477	1.68185	2.66181	3.12566	2.80265	1.87513	2.59497	2.79214	2.43473	2.3398	1.81059	0.81813	1.0263	1.34945	0.993	1.781	0.276	0.829	20	1	2	2	0
MTNR1B	1.17873	1.34029	1.93882	1.65863	2.3477	1.68185	1.90936	0.9644	1.65716	1.49482	2.38096	1.39227	1.91887	2.18692	1.81059	0.81813	1.84985	1.22341	1.603	2.182	0.138	1.675	18	1	3	1	0
GPR39	3.72302	2.32705	3.49548	2.96208	1.66476	1.29664	1.90936	0.9644	1.65716	1.49482	2.98299	2.5595	2.44942	1.01673	1.01955	1.07356	1.79594	1.48233	0.687	2.411	-2.034	1.414	28	3	3	2	0
