GPCR	164pos	169bip	169bin	193bip	193bin	194bip	194bin	199bip	199bin	269bip	269bin	270bip	270bin	276bip	276bin	346pos	398bip	398bin	655bip	655bin	660bip	660bin	671bip	671bin	703pos	734bip	734bin	IP_Z_6u1n	K_TIL	V_TIL	C_CTL	F_CTL	W_CTL	O
GPR183	1	1.29536	1.35309	1.56254	2.01476	4.00686	3.58441	2.0517	1.5411	0.64233	1.3477	1.59542	1.61653	0.93604	1.00593	0	1.59316	1.96026	1.08764	1.18943	1.64318	2.08755	1.92677	1.45342	1	0.83221	1.24499	0.316	2	1	1	2	0	1
ADORA1	1	1.24589	1.8239	0.73922	1.79965	1.15562	1.58574	1.32051	1.94234	1.20678	0.97653	1.08553	1.60184	0.93604	1.00593	1	1.28564	1.91829	1.08764	1.18943	2.1099	1.69308	1.67012	1.55083	0	1.6956	1.13547	0.909	5	1	1	4	1	1
GPR39	0	5.85056	5.24664	3.48415	4.77891	2.33312	3.61116	2.39184	4.82159	0.64233	1.3477	2.17655	3.74131	0.78374	1.02319	1	2.24821	2.00702	1.08764	1.18943	2.1099	1.69308	3.67026	4.89143	1	1.68971	1.26976	0.557	3	0	2	7	0	1
LTB4R	1	2.15777	2.30906	4.24661	3.67193	1.91785	2.00647	1.96388	1.20556	0.64233	1.3477	1.64728	1.18568	0.93604	1.00593	1	2.24821	2.00702	1.08764	1.18943	2.1099	1.69308	1.92677	1.45342	1	1.68971	1.26976	1.223	0	0	1	1	0	1
C5AR1	1	2.15777	2.30906	4.08146	5.17265	3.69611	3.01448	1.32051	1.94234	0.64233	1.3477	3.36313	3.29592	0.93604	1.00593	1	2.19295	1.71446	0.96446	1.42837	2.8273	3.02442	1.92677	1.45342	1	0.83221	1.24499	0.775	0	0	0	2	0	1
CCR5	1	1.24589	1.8239	1.56254	2.01476	1.22773	1.55428	2.0517	1.5411	3.08428	3.63438	1.59542	1.61653	0.93604	1.00593	0	1.28564	1.91829	1.08764	1.18943	2.8273	3.02442	1.92677	1.45342	1	0.83221	1.24499	2.108	2	0	3	6	0	1
CCR6	1	2.15777	2.30906	1.56254	2.01476	1.22773	1.55428	2.0517	1.5411	0.64233	1.3477	3.61804	3.71615	0.78374	1.02319	0	1.28564	1.91829	0.96446	1.42837	1.89838	1.92052	3.91069	4.79965	1	1.68971	1.26976	-0.016	1	1	2	5	1	1
EDNRA	1	1.29536	1.35309	1.74845	1.32697	1.15562	1.58574	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.93604	1.00593	1	2.32527	2.33954	2.23041	2.03887	2.1099	1.69308	1.67012	1.55083	1	6.2525	6.46795	0.221	1	0	6	3	1	1
CYSLTR2	1	1.24589	1.8239	0.73922	1.79965	2.33312	3.61116	2.0517	1.5411	0.64233	1.3477	1.08553	1.60184	3.70426	4.27518	1	2.19295	1.71446	2.67643	2.6796	2.8273	3.02442	1.92677	1.45342	1	1.68971	1.26976	-0.331	1	3	1	3	1	1
OPRL1	1	2.40863	2.81089	1.56254	2.01476	1.15562	1.58574	1.96388	1.20556	0.64233	1.3477	1.08553	1.60184	0.78374	1.02319	0	1.59316	1.96026	0.96446	1.42837	1.64318	2.08755	2.63832	2.65873	1	1.68971	1.26976	1.818	1	1	4	4	0	1
