GPCR	169bip	169bin	171bip	171bin	193bip	193bin	194bip	194bin	270bip	270bin	390bip	390bin	397bip	397bin	651bip	651bin	654bip	654bin	661bip	661bin	703pos	733bip	733bin	L_TIL	O
PTGFR	5.77459	5.415	5.36832	5.26898	1.57666	1.82024	3.28628	3.15372	1.2599	1.85273	1.16291	1.76537	1.80111	2.03159	2.26386	3.75181	1.84869	1.79581	1.17801	1.58912	1	2.39906	3.04816	1	1
HCRTR2	3.09681	2.22471	1.4361	1.32319	1.53296	0.73597	1.21136	1.39782	1.53482	1.50255	3.17371	3.69047	1.60602	1.88517	2.22063	2.15553	2.11117	1.34246	1.17801	1.58912	1	1.54155	1.41198	1	1
GPR39	5.77459	5.415	5.36832	5.26898	3.12818	4.62516	1.90545	3.25857	2.96781	2.18946	1.16291	1.76537	2.53817	3.08642	2.87812	3.1069	1.89703	2.33796	1.5434	1.65046	1	1.38965	1.91825	2	1
LTB4R	2.32871	2.12269	3.36105	1.98008	3.39987	4.51076	1.91624	2.08481	1.53482	1.50255	1.16291	1.76537	2.28837	2.71764	1.55075	2.09611	1.89703	2.33796	3.03993	2.80305	1	1.85277	1.52105	0	1
EDNRA	0.99028	1.60865	1.95707	2.30212	1.57666	1.82024	1.21136	1.39782	1.0455	1.51497	3.40082	4.68477	3.09517	3.87487	2.0004	1.41909	3.40194	4.63059	1.19871	1.27769	1	1.54155	1.41198	4	1
CYSLTR2	1.33505	1.43273	1.22696	2.06958	1.53296	0.73597	1.90545	3.25857	1.0455	1.51497	1.16291	1.76537	2.87551	3.24686	2.0004	1.41909	2.11117	1.34246	1.19871	1.27769	1	1.38965	1.91825	2	1
CNR1	0.99028	1.60865	1.22696	2.06958	1.53296	0.73597	1.21136	1.39782	1.2599	1.85273	2.00515	1.93528	2.84118	3.39027	2.0004	1.41909	1.89703	2.33796	1.17801	1.58912	0	1.54155	1.41198	0	1
PTGER4	1.33505	1.43273	1.22696	2.06958	1.57666	1.82024	1.91624	2.08481	1.0455	1.51497	1.16291	1.76537	2.28837	2.71764	1.55075	2.09611	1.84869	1.79581	1.17801	1.58912	1	2.39906	3.04816	3	1
ADRA2A	1.33505	1.43273	1.4361	1.32319	1.53296	0.73597	1.3148	1.3503	1.53482	1.50255	2.21747	2.14485	2.01235	1.04814	2.10884	2.09894	1.91886	1.51271	1.5434	1.65046	0	1.85277	1.52105	6	1
PTGER3	2.44341	2.53496	2.44218	2.6245	3.45342	5.63524	1.21136	1.39782	1.0455	1.51497	1.16291	1.76537	1.80111	2.03159	2.26386	3.75181	3.38274	3.47049	1.5434	1.65046	1	2.39906	3.04816	0	1
CXCR5	0.99028	1.60865	1.95707	2.30212	1.53296	0.73597	1.3148	1.3503	1.0455	1.51497	1.16291	1.76537	1.80111	2.03159	2.10884	2.09894	1.89703	2.33796	1.19871	1.27769	1	3.24643	3.31201	0	1
HRH1	0.99028	1.60865	1.4361	1.32319	1.52403	1.82507	1.21136	1.39782	1.2599	1.85273	2.58167	1.62859	1.60602	1.88517	2.26386	3.75181	2.48035	3.7778	1.19871	1.27769	0	1.38965	1.91825	14	1
GPR84	0.99028	1.60865	1.4361	1.32319	1.57666	1.82024	1.21136	1.39782	1.53482	1.50255	2.00515	1.93528	2.53817	3.08642	2.22063	2.15553	1.84869	1.79581	1.19871	1.27769	0	1.85277	1.52105	5	1
HTR2C	1.33505	1.43273	1.4361	1.32319	1.53296	0.73597	1.3148	1.3503	1.53482	1.50255	2.21747	2.14485	2.01235	1.04814	2.10884	2.09894	2.11117	1.34246	1.17801	1.58912	1	1.38965	1.91825	6	1
NPFFR1	3.09681	2.22471	1.95707	2.30212	1.53296	0.73597	1.21136	1.39782	1.0455	1.51497	1.16291	1.76537	1.60602	1.88517	2.22063	2.15553	3.13404	3.49713	1.19871	1.27769	1	1.54155	1.41198	0	1
GPR65	0.99028	1.60865	1.22696	2.06958	1.52403	1.82507	1.3148	1.3503	1.0455	1.51497	2.71447	3.32872	2.87551	3.24686	1.55075	2.09611	2.83073	3.79451	1.19871	1.27769	1	1.54155	1.41198	0	1
P2RY2	0.99028	1.60865	1.95707	2.30212	1.52403	1.82507	1.90545	3.25857	1.0455	1.51497	2.71447	3.32872	1.80111	2.03159	2.0004	1.41909	1.91886	1.51271	1.19871	1.27769	1	1.85277	1.52105	2	1
GHSR	2.44341	2.53496	1.22696	2.06958	1.52403	1.82507	1.3148	1.3503	1.0455	1.51497	2.21747	2.14485	3.09517	3.87487	2.22063	2.15553	1.91886	1.51271	1.19871	1.27769	1	1.54155	1.41198	1	1
F2RL1	0.99028	1.60865	1.22696	2.06958	1.52403	1.82507	1.90545	3.25857	1.0455	1.51497	1.16291	1.76537	1.60602	1.88517	1.55075	2.09611	2.97689	3.14999	1.17801	1.58912	1	3.16632	2.81444	0	1
GPR68	0.99028	1.60865	3.35966	3.76361	1.52403	1.82507	1.3148	1.3503	1.0455	1.51497	1.16291	1.76537	1.60602	1.88517	1.55075	2.09611	2.83073	3.79451	3.03993	2.80305	1	1.85277	1.52105	0	1
BDKRB2	0.99028	1.60865	1.22696	2.06958	1.52403	1.82507	1.3148	1.3503	1.2599	1.85273	1.16291	1.76537	1.80111	2.03159	1.55075	2.09611	1.91886	1.51271	1.17801	1.58912	1	1.38965	1.91825	0	1
GPR4	0.99028	1.60865	1.4361	1.32319	1.52403	1.82507	1.3148	1.3503	1.0455	1.51497	1.16291	1.76537	1.60602	1.88517	1.55075	2.09611	2.83073	3.79451	1.5434	1.65046	1	1.54155	1.41198	0	1
CCKAR	1.33505	1.43273	1.22696	2.06958	1.53296	0.73597	1.3148	1.3503	1.53482	1.50255	1.16291	1.76537	1.80111	2.03159	2.22063	2.15553	1.91886	1.51271	1.19871	1.27769	1	1.54155	1.41198	5	1
F2R	1.33505	1.43273	1.22696	2.06958	1.52403	1.82507	1.90545	3.25857	1.2599	1.85273	2.21747	2.14485	2.01235	1.04814	1.55075	2.09611	1.84869	1.79581	1.17801	1.58912	1	1.38965	1.91825	0	1
LPAR2	1.33505	1.43273	1.4361	1.32319	1.57666	1.82024	1.3148	1.3503	1.0455	1.51497	1.16291	1.76537	1.60602	1.88517	2.0004	1.41909	2.11117	1.34246	1.5434	1.65046	0	3.03633	2.68247	0	1
AGTR1	2.32871	2.12269	1.22696	2.06958	1.53296	0.73597	1.3148	1.3503	1.2599	1.85273	1.16291	1.76537	2.01235	1.04814	2.75234	2.72036	1.84869	1.79581	3.57348	3.28724	1	1.38965	1.91825	0	1
LPAR1	2.44341	2.53496	1.4361	1.32319	1.57666	1.82024	1.90545	3.25857	1.2599	1.85273	2.00515	1.93528	1.80111	2.03159	2.0004	1.41909	2.11117	1.34246	1.17801	1.58912	0	1.54155	1.41198	0	1
GPR183	0.99028	1.60865	1.22696	2.06958	1.52403	1.82507	4.63094	3.4098	1.2599	1.85273	2.00515	1.93528	2.01235	1.04814	2.0004	1.41909	1.89703	2.33796	1.19871	1.27769	1	3.16632	2.81444	1	0
ADORA1	1.33505	1.43273	1.4361	1.32319	1.53296	0.73597	1.21136	1.39782	1.0455	1.51497	2.00515	1.93528	1.60602	1.88517	3.61644	2.85875	1.89703	2.33796	1.19871	1.27769	0	1.54155	1.41198	1	0
ADORA3	1.33505	1.43273	1.22696	2.06958	1.53296	0.73597	1.21136	1.39782	1.0455	1.51497	2.88902	1.85707	1.80111	2.03159	3.61644	2.85875	1.89703	2.33796	1.19871	1.27769	0	1.54155	1.41198	3	0
MTNR1B	1.33505	1.43273	3.36105	1.98008	1.53296	0.73597	1.3148	1.3503	1.2599	1.85273	1.16291	1.76537	1.80111	2.03159	2.0004	1.41909	1.91886	1.51271	1.17801	1.58912	1	1.54155	1.41198	3	0
OPRK1	2.44341	2.53496	1.22696	2.06958	1.52403	1.82507	1.21136	1.39782	1.0455	1.51497	2.00515	1.93528	2.01235	1.04814	1.55075	2.09611	1.91886	1.51271	1.5434	1.65046	1	1.54155	1.41198	2	0
C5AR1	2.32871	2.12269	1.22696	2.06958	4.87096	4.1236	4.0169	3.18624	4.0633	2.93956	1.16291	1.76537	2.87551	3.24686	2.10884	2.09894	1.84869	1.79581	1.17801	1.58912	1	1.54155	1.41198	0	0
GNRHR	5.77459	5.415	5.36832	5.26898	1.57666	1.82024	1.3148	1.3503	1.53482	1.50255	2.88902	1.85707	2.01235	1.04814	2.22063	2.15553	1.84869	1.79581	1.5434	1.65046	1	1.38965	1.91825	3	0
CCR5	1.33505	1.43273	1.95707	2.30212	1.52403	1.82507	1.3148	1.3503	1.2599	1.85273	2.00515	1.93528	1.80111	2.03159	1.55075	2.09611	2.97689	3.14999	1.19871	1.27769	1	1.54155	1.41198	1	0
CCR6	2.32871	2.12269	3.49912	2.68393	1.52403	1.82507	1.3148	1.3503	3.97773	3.39658	2.21747	2.14485	2.84118	3.39027	2.10884	2.09894	1.84869	1.79581	3.03993	2.80305	1	1.85277	1.52105	0	0
GPBAR1	3.76594	2.43018	4.48049	3.5474	1.53296	0.73597	4.0169	3.18624	5.58888	3.82639	1.16291	1.76537	2.28837	2.71764	3.15507	2.90635	3.38274	3.47049	1.19871	1.27769	0	5.28527	5.17529	4	0
OPRL1	2.44341	2.53496	1.22696	2.06958	1.52403	1.82507	1.21136	1.39782	1.0455	1.51497	2.88902	1.85707	1.80111	2.03159	1.55075	2.09611	1.91886	1.51271	5.26329	4.12136	1	1.54155	1.41198	2	0
MC4R	1.33505	1.43273	1.4361	1.32319	1.53296	0.73597	1.21136	1.39782	1.0455	1.51497	2.58167	1.62859	1.60602	1.88517	2.0004	1.41909	2.11117	1.34246	1.5434	1.65046	1	1.38965	1.91825	0	0
CYSLTR1	0.99028	1.60865	1.22696	2.06958	1.52403	1.82507	1.90545	3.25857	2.96781	2.18946	2.88902	1.85707	2.01235	1.04814	2.22063	2.15553	1.91886	1.51271	1.5434	1.65046	1	1.38965	1.91825	2	0
ADORA2A	3.09681	2.22471	1.4361	1.32319	1.53296	0.73597	1.91624	2.08481	1.2599	1.85273	2.00515	1.93528	1.60602	1.88517	3.61644	2.85875	2.11117	1.34246	1.19871	1.27769	0	3.16632	2.81444	3	0
ADORA2B	3.09681	2.22471	1.4361	1.32319	1.53296	0.73597	1.3148	1.3503	1.0455	1.51497	2.00515	1.93528	2.01235	1.04814	3.61644	2.85875	3.13404	3.49713	1.19871	1.27769	1	1.54155	1.41198	3	0
CNR2	0.99028	1.60865	2.44218	2.6245	1.53296	0.73597	1.21136	1.39782	1.2599	1.85273	2.21747	2.14485	4.26346	3.65266	2.0004	1.41909	1.89703	2.33796	1.17801	1.58912	0	1.85277	1.52105	2	0
S1PR1	0.99028	1.60865	3.49912	2.68393	1.53296	0.73597	1.21136	1.39782	1.2599	1.85273	3.35303	3.33107	2.53817	3.08642	2.0004	1.41909	2.11117	1.34246	3.03993	2.80305	0	1.54155	1.41198	1	0
PTGER2	5.77459	5.415	5.36832	5.26898	1.57666	1.82024	1.91624	2.08481	1.53482	1.50255	1.16291	1.76537	2.53817	3.08642	1.55075	2.09611	2.11117	1.34246	1.5434	1.65046	0	2.39906	3.04816	1	0
PTGER1	5.77459	5.415	5.36832	5.26898	1.53296	0.73597	1.91624	2.08481	1.0455	1.51497	1.16291	1.76537	2.28837	2.71764	2.26386	3.75181	3.38274	3.47049	1.17801	1.58912	0	2.39906	3.04816	1	0
ADRA2B	1.33505	1.43273	1.4361	1.32319	1.53296	0.73597	1.3148	1.3503	1.53482	1.50255	2.21747	2.14485	2.01235	1.04814	2.10884	2.09894	1.91886	1.51271	1.19871	1.27769	0	1.85277	1.52105	11	0
