GPCR	398bip	398bin	401bip	401bin	480bip	480bin	481bip	481bin	920bip	920bin	966pos	967pos	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	H_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	V_TIL	M_CTL	Y_CTL	O
PTGER1	5.74798	5.70167	5.42058	5.95854	2.07727	2.14623	2.34924	2.4402	2.4785	1.71515	0	0	62	11	0	0	2	6	2	0	1	5	15	15	0	0	0	1
LTB4R	2.01436	2.12264	1.33481	1.50308	1.38581	1.44037	3.87827	4.17382	1.99259	2.75856	1	1	7	1	0	0	1	0	0	0	0	0	4	0	0	0	0	1
PTAFR	1.18241	1.5549	1.94445	2.1349	1.33903	1.89899	2.87683	3.07397	1.50809	1.5262	1	1	13	1	0	1	0	0	0	0	1	1	1	0	2	1	1	1
GRPR	1.25583	1.19549	1.94445	2.1349	1.38581	1.44037	2.43121	2.34685	0.9256	1.62572	1	1	21	1	0	2	0	1	1	2	1	1	0	2	2	1	2	1
EDNRA	1.18241	1.5549	1.33481	1.50308	1.38581	1.44037	2.37689	2.51553	0.9256	1.62572	1	1	18	1	0	1	0	1	1	1	4	0	3	2	0	3	2	1
EDNRB	1.18241	1.5549	1.33481	1.50308	1.38581	1.44037	1.98323	1.73091	0.9256	1.62572	1	1	17	1	0	0	0	1	1	3	3	0	1	1	0	0	0	1
MLNR	2.01436	2.12264	1.33481	1.50308	1.38581	1.44037	2.55114	2.65002	0.9256	1.62572	1	1	18	2	0	1	0	3	0	0	1	2	5	3	0	1	2	1
GPR35	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	2.55114	2.65002	1.50809	1.5262	1	1	13	3	0	1	0	1	0	0	0	2	1	0	1	1	2	1
MC4R	1.25583	1.19549	1.33481	1.50308	1.33903	1.89899	2.43121	2.34685	1.99259	2.75856	1	1	10	2	0	0	0	3	0	0	0	1	1	0	0	0	2	1
CCKBR	1.25583	1.19549	2.03781	1.61362	2.58363	2.04795	1.98323	1.73091	0.9256	1.62572	1	1	82	7	2	3	1	12	1	1	9	7	8	8	4	1	1	1
P2RY1	1.25583	1.19549	1.94445	2.1349	1.38581	1.44037	3.45659	4.09338	1.50809	1.5262	1	1	10	0	0	0	0	0	0	1	2	1	0	1	0	1	0	1
P2RY2	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	1.98323	1.73091	1.50809	1.5262	1	1	14	2	0	0	0	3	0	1	2	2	1	1	0	1	0	1
F2R	1.25583	1.19549	1.94445	2.1349	2.07727	2.14623	1.98323	1.73091	3.29908	3.03158	1	1	10	2	0	0	0	0	0	1	0	0	1	4	1	2	6	1
S1PR3	1.18241	1.5549	1.33481	1.50308	1.38581	1.44037	3.02894	3.39027	0.9256	1.62572	0	1	15	1	0	1	0	0	1	2	0	0	2	4	1	2	0	1
S1PR2	1.18241	1.5549	1.49915	1.16542	2.58363	2.04795	3.02894	3.39027	1.50809	1.5262	0	1	25	3	0	3	0	0	1	1	1	1	1	2	0	2	0	1
GPR183	1.18241	1.5549	1.33481	1.50308	2.32357	2.04744	2.5421	3.17348	1.99259	2.75856	1	1	15	1	0	1	1	1	0	2	1	1	1	1	1	5	1	1
P2RY10	1.18241	1.5549	2.03781	1.61362	1.38581	1.44037	3.87827	4.17382	3.20766	2.67214	1	1	12	1	0	1	1	1	0	0	0	2	1	1	0	3	1	1
P2RY11	1.18241	1.5549	1.94445	2.1349	1.38581	1.44037	3.3661	4.48206	0.9256	1.62572	0	0	10	1	0	1	0	1	0	0	1	1	1	1	1	3	4	1
