from	to
A0A096LPK9	OR4N4C
A0A0X1KG70	OR4M2B
A1X283	SH3PXD2B
A3KFT3	OR2M5
A4D2G3	OR2A25
A6NCV1	OR6C74
A6ND48	OR14I1
A6NDH6	OR5H15
A6NDL8	OR6C68
A6NET4	OR5K3
A6NF89	OR6C6
A6NGY5	OR51F1
A6NH00	OR2T8
A6NHA9	OR4C46
A6NHG9	OR5H14
A6NIJ9	OR6C70
A6NJZ3	OR6C65
A6NKD9	CCDC85C
A6NKK0	OR5H1
A6NL08	OR6C75
A6NL26	OR5B21
A6NM03	OR2AG2
A6NM76	OR6C76
A6NMS3	OR5K4
A6NMU1	OR52A4P
A6NMZ5	OR4C45
A6NND4	OR2AT4
B2RN74	OR11H12
E9PAV3	NACA
O00144	FZD9
O00155	GPR25
O00213	APBB1
O00222	GRM8
O00254	F2RL2
O00270	GPR31
O00398	P2RY10
O00421	CCRL2
O00574	CXCR6
O00590	ACKR2
O14514	ADGRB1
O14581	OR7A17
O14617	AP3D1
O14626	GPR171
O14639	ABLIM1
O14640	DVL1
O14641	DVL2
O14804	TAAR5
O14842	FFAR1
O14843	FFAR3
O14966	RAB29
O15126	SCAMP1
O15169	AXIN1
O15218	ACKR5
O15234	CASC3
O15303	GRM6
O15344	MID1
O15354	GPR37
O15397	IPO8
O15498	YKT6
O15529	GPR42
O15552	FFAR2
O43193	MLNR
O43194	GPR39
O43303	CCP110
O43306	ADCY6
O43318	MAP3K7
O43396	TXNL1
O43426	SYNJ1
O43432	EIF4G3
O43583	DENR
O43603	GALR2
O43613	HCRTR1
O43614	HCRTR2
O43749	OR1F1
O43815	STRN
O43869	OR2T1
O43896	KIF1C
O60241	ADGRB2
O60242	ADGRB3
O60266	ADCY3
O60271	SPAG9
O60294	LCMT2
O60333	KIF1B
O60353	FZD6
O60403	OR10H2
O60404	OR10H3
O60412	OR7C2
O60431	OR1I1
O60503	ADCY9
O60678	PRMT3
O60755	GALR3
O60826	CCDC22
O60883	GPR37L1
O75084	FZD7
O75122	CLASP2
O75312	ZPR1
O75330	HMMR
O75388	GPR32
O75473	LGR5
O75665	OFD1
O75899	GABBR2
O75976	CPD
O76000	OR2B3
O76001	OR2J3
O76002	OR2J2
O76099	OR7C1
O76100	OR7A10
O94830	DDHD2
O94910	ADGRL1
O95006	OR2F2
O95007	OR6B1
O95013	OR4F21
O95047	OR2A4
O95136	S1PR2
O95221	OR5F1
O95222	OR6A2
O95229	ZWINT
O95371	OR2C1
O95490	ADGRL2
O95573	ACSL3
O95622	ADCY5
O95665	NTSR2
O95684	CEP43
O95800	GPR75
O95837	GNA14
O95838	GLP2R
O95918	OR2H2
O95977	S1PR4
P02786	TFRC
P03999	OPN1SW
P04000	OPN1LW
P04001	OPN1MW
P04150	NR3C1
P04201	MAS1
P04899	GNAI2
P07550	ADRB2
P08100	RHO
P08172	CHRM2
P08173	CHRM4
P08195	SLC3A2
P08588	ADRB1
P08754	GNAI3
P08758	ANXA5
P08908	HTR1A
P08912	CHRM5
P08913	ADRA2A
P09471	GNAO1
P0C604	OR4A8
P0C617	OR5AL1
P0C623	OR4Q2
P0C626	OR5G3
P0C628	OR5AC1
P0C629	OR10J4
P0C645	OR4E1
P0C646	OR52Z1P
P0C7N1	OR8U8
P0C7N5	OR8U9
P0C7N8	OR9G9
P0C7T2	OR2T7
P0C7T3	OR56A5
P0DMS8	ADORA3
P0DN80	OR5H8
P0DN81	OR13C7
P0DN82	OR12D1
P11229	CHRM1
P11274	BCR
P13945	ADRB3
P14416	DRD2
P16473	TSHR
P18089	ADRA2B
P18825	ADRA2C
P19086	GNAZ
P19838	NFKB1
P20290	BTF3
P20309	CHRM3
P21452	TACR2
P21453	S1PR1
P21462	FPR1
P21554	CNR1
P21728	DRD1
P21730	C5AR1
P21731	TBXA2R
P21917	DRD4
P21918	DRD5
P22888	LHCGR
P23945	FSHR
P24530	EDNRB
P25021	HRH2
P25024	CXCR1
P25025	CXCR2
P25089	FPR3
P25090	FPR2
P25098	GRK2
P25100	ADRA1D
P25101	EDNRA
P25103	TACR1
P25105	PTAFR
P25106	ACKR3
P25116	F2R
P25929	NPY1R
P28221	HTR1D
P28222	HTR1B
P28223	HTR2A
P28335	HTR2C
P28336	NMBR
P28566	HTR1E
P29274	ADORA2A
P29275	ADORA2B
P29371	TACR3
P29992	GNA11
P30411	BDKRB2
P30419	NMT1
P30518	AVPR2
P30542	ADORA1
P30550	GRPR
P30556	AGTR1
P30559	OXTR
P30679	GNA15
P30872	SSTR1
P30874	SSTR2
P30876	POLR2B
P30939	HTR1F
P30953	OR1E1
P30954	OR10J1
P30968	GNRHR
P30988	CALCR
P30989	NTSR1
P31391	SSTR4
P32238	CCKAR
P32239	CCKBR
P32241	VIPR1
P32245	MC4R
P32246	CCR1
P32247	BRS3
P32248	CCR7
P32249	GPR183
P32302	CXCR5
P32745	SSTR3
P33032	MC5R
P33240	CSTF2
P33981	TTK
P34969	HTR7
P34972	CNR2
P34981	TRHR
P34982	OR1D2
P34995	PTGER1
P34998	CRHR1
P35346	SSTR5
P35348	ADRA1A
P35367	HRH1
P35368	ADRA1B
P35372	OPRM1
P35408	PTGER4
P35410	MAS1L
P35414	APLNR
P35462	DRD3
P35658	NUP214
P35998	PSMC2
P37288	AVPR1A
P38405	GNAL
P40145	ADCY8
P40222	TXLNA
P41143	OPRD1
P41145	OPRK1
P41146	OPRL1
P41180	CASR
P41231	P2RY2
P41586	ADCYAP1R1
P41587	VIPR2
P41594	GRM5
P41595	HTR2B
P41597	CCR2
P41968	MC3R
P42167	TMPO
P43088	PTGFR
P43115	PTGER3
P43116	PTGER2
P43119	PTGIR
P43220	GLP1R
P43657	LPAR6
P46020	PHKA1
P46089	GPR3
P46091	CMKLR2
P46092	CCR10
P46093	GPR4
P46094	XCR1
P46095	GPR6
P46108	CRK
P46663	BDKRB1
P47211	GALR1
P47775	GPR12
P47871	GCGR
P47872	SCTR
P47881	OR3A1
P47884	OR1D4
P47887	OR1E2
P47888	OR3A3
P47890	OR1G1
P47893	OR3A2
P47898	HTR5A
P47900	P2RY1
P47901	AVPR1B
P48039	MTNR1A
P48145	NPBWR1
P48146	NPBWR2
P48546	GIPR
P48729	CSNK1A1
P48960	ADGRE5
P49019	HCAR3
P49023	PXN
P49146	NPY2R
P49190	PTH2R
P49238	CX3CR1
P49286	MTNR1B
P49682	CXCR3
P49683	PRLHR
P49685	GPR15
P50052	AGTR2
P50148	GNAQ
P50391	NPY4R
P50406	HTR6
P50502	ST13
P51114	FXR1
P51116	FXR2
P51582	P2RY4
P51617	IRAK1
P51677	CCR3
P51679	CCR4
P51681	CCR5
P51684	CCR6
P51685	CCR8
P51686	CCR9
P51809	VAMP7
P51810	GPR143
P51828	ADCY7
P53701	HCCS
P54578	USP14
P55085	F2RL1
P55196	AFDN
P58170	OR1D5
P58173	OR2B6
P58180	OR4D2
P58181	OR10A3
P58182	OR12D2
P59533	TAS2R38
P59534	TAS2R39
P59535	TAS2R40
P59536	TAS2R41
P59537	TAS2R43
P59538	TAS2R31
P59539	TAS2R45
P59540	TAS2R46
P59541	TAS2R30
P59542	TAS2R19
P59543	TAS2R20
P59544	TAS2R50
P59551	TAS2R60
P59768	GNG2
P60893	GPR85
P61006	RAB8A
P61011	SRP54
P61073	CXCR4
P62873	GNB1
P63027	VAMP2
P63092	GNAS
P63096	GNAI1
P78310	CXADR
P78312	FAM193A
P98194	ATP2C1
Q01718	MC2R
Q01726	MC1R
Q01968	OCRL
Q02643	GHRHR
Q03113	GNA12
Q03431	PTH1R
Q04656	ATP7A
Q06546	GABPA
Q06787	FMR1
Q07157	TJP1
Q07960	ARHGAP1
Q08462	ADCY2
Q08828	ADCY1
Q08AD1	CAMSAP2
Q12768	WASHC5
Q13033	STRN3
Q13136	PPFIA1
Q13190	STX5
Q13255	GRM1
Q13258	PTGDR
Q13304	GPR17
Q13324	CRHR2
Q13467	FZD5
Q13501	SQSTM1
Q13585	GPR50
Q13586	STIM1
Q13606	OR5I1
Q13607	OR2F1
Q13625	TP53BP2
Q13639	HTR4
Q14126	DSG2
Q14141	SEPTIN6
Q14246	ADGRE1
Q14258	TRIM25
Q14318	FKBP8
Q14330	GPR18
Q14332	FZD2
Q14344	GNA13
Q14416	GRM2
Q14439	GPR176
Q14596	NBR1
Q14739	LBR
Q14831	GRM7
Q14832	GRM3
Q14833	GRM4
Q15047	SETDB1
Q15058	KIF14
Q15077	P2RY6
Q15154	PCM1
Q15391	P2RY14
Q15612	OR1Q1
Q15615	OR4D1
Q15617	OR8G1
Q15619	OR1C1
Q15620	OR8B8
Q15622	OR7A5
Q15650	TRIP4
Q15722	LTB4R
Q15743	GPR68
Q15760	GPR19
Q15761	NPY5R
Q15836	VAMP3
Q16538	GPR162
Q16570	ACKR1
Q16581	C3AR1
Q16602	CALCRL
Q2KHM9	KIAA0753
Q2M1P5	KIF7
Q2NKX8	ERCC6L
Q49A88	CCDC14
Q49SQ1	GPR33
Q5HYK7	SH3D19
Q5JQS5	OR2B11
Q5JRS4	OR10J3
Q5NUL3	FFAR4
Q5PRF9	SAMD4B
Q5S007	LRRK2
Q5SQN1	SNAP47
Q5SW79	CEP170
Q5SZL2	CEP85L
Q5T5Y3	CAMSAP1
Q5T601	ADGRF1
Q5T6X5	GPRC6A
Q5T848	GPR158
Q5T9S5	CCDC18
Q5TZ20	OR2G6
Q5UAW9	GPR157
Q5VUJ6	LRCH2
Q5VW38	GPR107
Q5W0B1	OBI1
Q641Q2	WASHC2A
Q6BDS2	BLTP3A
Q6DWJ6	GPR139
Q6IAA8	LAMTOR1
Q6IBW4	NCAPH2
Q6IEU7	OR5M10
Q6IEV9	OR4C11
Q6IEY1	OR4F16
Q6IEY1	OR4F29
Q6IEY1	OR4F3
Q6IEZ7	OR2T5
Q6IF00	OR2T2
Q6IF42	OR2A2
Q6IF63	OR52W1
Q6IF82	OR4A47
Q6IF99	OR10K2
Q6IFG1	OR52E8
Q6IFH4	OR6B2
Q6IFN5	OR7E24
